"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","9/214","105/8545",0.0857142857142857,3.42256341789052,4.00301779150389,0.00122830255397589,0.018833972494297,0.0158745534753609,"5743/7412/3553/2920/2921/5328/929/4067/330",9
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","10/214","130/8545",0.0769230769230769,3.07153127246585,3.81438959640311,0.00152981347643403,0.0215849823689955,0.0181932917755454,"2769/4312/4313/1282/10000/1278/1284/2770/1956/7048",10
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","8/214","88/8545",0.0909090909090909,3.62999150382328,3.97444467192478,0.00156412915717359,0.0215849823689955,0.0181932917755454,"3075/3426/5328/5054/5327/716/718/5270",8
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","13/214","204/8545",0.0637254901960784,2.54455286787612,3.57847296556008,0.00181069420592707,0.0237976952778987,0.0200583167674127,"3690/117581/2247/815/4313/81029/10000/857/4478/1278/5328/858/1956",13
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","5/214","37/8545",0.135135135135135,5.39593331649406,4.29464387398035,0.00213280868959432,0.0267358000769198,0.0225347513996922,"3569/7412/3553/3620/3910",5
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","8/214","93/8545",0.0860215053763441,3.43483067028439,3.7837238550233,0.00222798333974332,0.0267358000769198,0.0225347513996922,"5743/284217/3908/1282/3910/10000/1284/330",8
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","10/214","141/8545",0.0709219858156028,2.83190826539405,3.51527411246434,0.00279534690311048,0.0321464893857705,0.0270952484906761,"7412/3690/3553/2950/4208/4313/10000/857/858/5327",10
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","7/214","80/8545",0.0875,3.49386682242991,3.59164752134231,0.00378412164751328,0.0417767029885466,0.0352122477515973,"3569/5156/2247/5159/10000/558/1956",7
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","8/214","103/8545",0.0776699029126214,3.10135196443154,3.43861598757997,0.00420600968919914,0.0430222501910556,0.0362620796804855,"3569/2769/3553/10000/5054/2770/718/7048",8
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","18/214","362/8545",0.0497237569060773,1.98546496617958,3.07063459426134,0.00420869838825544,0.0430222501910556,0.0362620796804855,"4803/284217/3569/5156/6696/7010/3690/3575/2247/5159/3908/1282/3910/10000/1278/3672/1284/1956",18
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","4/214","28/8545",0.142857142857143,5.70427236315087,3.99592280243756,0.00488514280369431,0.0481535504935582,0.0405870887073851,"250/231/57016/8644",4
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","10/214","157/8545",0.0636942675159236,2.54330614917555,3.12796324450624,0.00600056736566633,0.0571088480318589,0.0481352227881038,"5743/9023/1901/3690/10326/815/834/558/5468/140885",10
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","8/214","110/8545",0.0727272727272727,2.90399320305862,3.22112910581143,0.00624861519902413,0.057487259831022,0.0484541739994502,"3569/7010/80201/815/10000/5054/3945/1956",8
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","12/214","212/8545",0.0566037735849057,2.26018338917299,2.97776163059201,0.00694372795763365,0.0618215779453835,0.0521074322117839,"4803/5156/7010/3690/2903/2247/5159/10000/136/2770/64411/1956",12
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","11/214","189/8545",0.0582010582010582,2.32396281461702,2.94982609509489,0.00784959752364068,0.0670266502450104,0.0564946212972818,"3569/3428/3553/22861/2920/2921/834/84674/2633/84168/330",11
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","12/214","216/8545",0.0555555555555556,2.21832814122534,2.90658922718473,0.00801405600755559,0.0670266502450104,0.0564946212972818,"3569/7412/4312/3553/2920/815/2921/834/10000/929/5468/4067",12
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","6/214","71/8545",0.0845070422535211,3.37435829932868,3.21973508448682,0.00851280166635204,0.0683439875827443,0.0576049628367143,"5156/5159/80201/10000/3945/1956",6
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","5/214","51/8545",0.0980392156862745,3.91469671980942,3.34588701298322,0.00866681001955091,0.0683439875827443,0.0576049628367143,"1071/9388/5360/255738/1593",5
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","16/214","333/8545",0.048048048048048,1.91855406808678,2.7402570931661,0.00936524208539402,0.0718001893213542,0.060518084820821,"5743/284217/6696/3690/5159/8900/3908/1282/3910/81029/10000/1278/3672/1284/7098/1956",16
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","6/214","76/8545",0.0789473684210526,3.1523610427939,3.02061094576298,0.0117279925834049,0.0874844852167498,0.0737378765556892,"4312/51703/5360/5468/2182/1593",6
"Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","3/214","21/8545",0.142857142857143,5.70427236315087,3.45914943780706,0.0147677717004946,0.107260657614119,0.0904065802163244,"8876/586/1806",3
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","7/214","105/8545",0.0666666666666667,2.66199376947041,2.74626066728599,0.0160899554902252,0.11386737731544,0.0959751730995888,"1358/1803/1305/1282/4311/1278/1284",7
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","4/214","41/8545",0.0975609756097561,3.89560063824937,2.97857064858039,0.0187797560373838,0.129580316657948,0.109219107480574,"2903/773/2564/2906",4
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","7/214","112/8545",0.0625,2.4956191588785,2.55345330477429,0.0221503421969886,0.149109620643143,0.125679733646585,"284217/3112/3908/3910/10000/2770/330",7
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","10/214","196/8545",0.0510204081632653,2.03724012969674,2.35439352788542,0.0253847400826528,0.166814006257433,0.140602194442764,"5743/3569/1437/2247/2920/2921/10000/4067/7098/718",10
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","8/214","143/8545",0.0559440559440559,2.23384092542971,2.38465079603135,0.0270554189408654,0.171827908965216,0.144828252789141,"3690/10326/3553/8061/10000/5468/140885/7048",8
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","5/214","68/8545",0.0735294117647059,2.93602253985706,2.56881431824573,0.0273928550524257,0.171827908965216,0.144828252789141,"1437/8900/10000/6776/929",5
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","9/214","174/8545",0.0517241379310345,2.06533999355462,2.27542813382426,0.0306434925074903,0.187946754045941,0.158414312143985,"6423/815/4919/57216/6422/8061/81029/7091/144165",9
NA,NA,"hsa03272","Virion - Hepatitis viruses","4/214","48/8545",0.0833333333333333,3.32749221183801,2.59158218150605,0.031543689238205,0.18926213542923,0.159523005071929,"9071/1803/5010/1956",4
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","5/214","73/8545",0.0684931506849315,2.73492510562028,2.38582248595835,0.0357493270667729,0.206615695581341,0.174149766298537,"5156/2247/5159/10000/1956",5
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/214","50/8545",0.08,3.19439252336449,2.49405809097118,0.0359331644489288,0.206615695581341,0.174149766298537,"2995/3569/7412/3553",4
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","6/214","99/8545",0.0606060606060606,2.41999433588219,2.27754837479978,0.0376379406248507,0.211265601940689,0.178069023756263,"284217/3569/70/3690/3908/3672",6
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","3/214","30/8545",0.1,3.99299065420561,2.63185889504563,0.0382727539747624,0.211265601940689,0.178069023756263,"3569/3553/10257",3
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","9/214","182/8545",0.0494505494505494,1.97455581801376,2.12985630267936,0.0391625196208615,0.211938341477603,0.178636054410947,"3569/3553/3112/815/10000/1520/929/843/718",9
"Human Diseases","Cancer: specific types","hsa05214","Glioma","5/214","76/8545",0.0657894736842105,2.62696753566158,2.28327675929367,0.0414418688102182,0.219960688300389,0.185397834150976,"5156/5159/815/10000/1956",5
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","3/214","32/8545",0.09375,3.74342873831776,2.49181786662984,0.0450985817382774,0.234852991693671,0.197950080718159,"80201/231/57016",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","2/214","14/8545",0.142857142857143,5.70427236315087,2.82322469561997,0.0466128996352185,0.238243709246672,0.200808008175113,"9435/4166",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","8/214","160/8545",0.05,1.9964953271028,2.03926029571615,0.0476323421115536,0.239027753141614,0.201468853715854,"7412/9071/80380/257194/3112/5010/29126/5797",8
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","3/214","34/8545",0.0882352941176471,3.52322704782848,2.36262303542206,0.0524848367270376,0.247503299759453,0.208612621078715,"80201/231/57016",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","2/214","15/8545",0.133333333333333,5.32398753894081,2.68623799086108,0.0529162952840667,0.247503299759453,0.208612621078715,"250/26289",2
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","9/214","193/8545",0.0466321243523316,1.86201636724614,1.94127858135014,0.0533220609689914,0.247503299759453,0.208612621078715,"6372/10344/6364/2920/2921/1794/10000/4067/2770",9
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","6/214","108/8545",0.0555555555555556,2.21832814122534,2.04207208333456,0.0536052349765116,0.247503299759453,0.208612621078715,"26585/650/10468/3624/2200/7048",6
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","10/214","224/8545",0.0446428571428571,1.78258511348465,1.9022025951314,0.0548417720807107,0.247503299759453,0.208612621078715,"3569/1437/2113/8900/3112/8061/10000/6776/3600/7048",10
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","6/214","109/8545",0.055045871559633,2.19797650690217,2.01735441945149,0.0555985673372685,0.247503299759453,0.208612621078715,"3569/6696/3553/10000/929/7098",6
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","6/214","109/8545",0.055045871559633,2.19797650690217,2.01735441945149,0.0555985673372685,0.247503299759453,0.208612621078715,"3569/10148/3553/3112/6776/7048",6
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","2/214","17/8545",0.117647058823529,4.6976360637713,2.4457607328928,0.0663523095809924,0.290686308640538,0.245010199121125,"9023/1593",2
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","7/214","144/8545",0.0486111111111111,1.94103712357217,1.8252041581307,0.0696002092514581,0.29946239204782,0.252407279338551,"3569/3553/2920/2921/10000/929/718",7
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","6/214","116/8545",0.0517241379310345,2.06533999355462,1.85147621818128,0.0707953467408596,0.29946239204782,0.252407279338551,"7412/9071/4313/4478/5010/2770",6
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","4/214","63/8545",0.0634920634920635,2.53523216140039,1.96012667864713,0.0726143308167407,0.29946239204782,0.252407279338551,"5743/5740/151056/8644",4
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","2/214","18/8545",0.111111111111111,4.43665628245067,2.33917739615773,0.0734497411549575,0.29946239204782,0.252407279338551,"51703/2182",2
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","12/214","300/8545",0.04,1.59719626168224,1.68760699614298,0.073780589345115,0.29946239204782,0.252407279338551,"4803/5156/7010/3553/2247/773/5159/4208/10000/929/1956/7048",12
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","5/214","91/8545",0.0549450549450549,2.19395090890418,1.83512217949869,0.077730492969966,0.310921971879864,0.262066192926964,"5137/773/5139/2564/2770",5
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","4/214","65/8545",0.0615384615384615,2.45722501797268,1.89005442547935,0.0794825429513463,0.313388312208166,0.264144992364625,"231/9388/57016/56895",4
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/214","41/8545",0.0731707317073171,2.92170047868703,1.97676453222522,0.0824919197570083,0.318296700722735,0.268282116169811,"4312/4313/1956",3
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","4/214","66/8545",0.0606060606060606,2.41999433588219,1.85598816044768,0.08303392192767,0.318296700722735,0.268282116169811,"3569/3553/3112/8809",4
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","8/214","182/8545",0.043956043956044,1.75516072712334,1.65037630936073,0.0865673679314189,0.327295802042077,0.275867171057586,"3569/3690/3553/3112/10000/7098/718/330",8
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","12/214","312/8545",0.0384615384615385,1.53576563623293,1.54511935688605,0.0922601244141502,0.340301557839813,0.286829306951178,"5743/5156/407006/3690/5159/9839/8091/8434/5328/6935/7431/1956",12
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","4/214","69/8545",0.0579710144927536,2.31477719084383,1.75739817810691,0.094145911961435,0.340301557839813,0.286829306951178,"3759/5137/5139/2770",4
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","4/214","70/8545",0.0571428571428571,2.28170894526035,1.7256690941927,0.0979991120822267,0.340301557839813,0.286829306951178,"7133/10000/51703/2182",4
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","4/214","70/8545",0.0571428571428571,2.28170894526035,1.7256690941927,0.0979991120822267,0.340301557839813,0.286829306951178,"284217/3112/3908/857",4
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","7/214","157/8545",0.0445859872611465,1.78031430442288,1.58153614867739,0.0991092142924645,0.340301557839813,0.286829306951178,"3569/2113/8900/10000/5054/3486/7048",7
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","7/214","157/8545",0.0445859872611465,1.78031430442288,1.58153614867739,0.0991092142924645,0.340301557839813,0.286829306951178,"650/2736/6591/81029/5054/330/7048",7
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","6/214","128/8545",0.046875,1.87171436915888,1.59253675847286,0.101873259869374,0.340301557839813,0.286829306951178,"5137/5139/26289/9615/2984/4907",6
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","4/214","71/8545",0.0563380281690141,2.24957219955245,1.69447528312637,0.101925090913529,0.340301557839813,0.286829306951178,"2920/2921/4067/1956",4
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/214","45/8545",0.0666666666666667,2.66199376947041,1.79149303756078,0.102283454566117,0.340301557839813,0.286829306951178,"3569/3553/3112",3
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","5/214","99/8545",0.0505050505050505,2.01666194656849,1.63063802834771,0.102337062683712,0.340301557839813,0.286829306951178,"6581/5156/5159/10000/1956",5
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","2/214","23/8545",0.0869565217391304,3.47216578626575,1.90265341102397,0.112088722831827,0.363983000509124,0.306789638110284,"290/4311",2
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","5/214","102/8545",0.0490196078431373,1.95734835990471,1.55887261624195,0.112457618413169,0.363983000509124,0.306789638110284,"3075/3112/3426/716/718",5
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","9/214","226/8545",0.0398230088495575,1.5901290215863,1.44096877425095,0.114118228573835,0.363983000509124,0.306789638110284,"64208/2903/5139/815/10000/2906/2770/10257/64411",9
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","7/214","163/8545",0.0429447852760736,1.71478126254229,1.47666531003578,0.114733771899615,0.363983000509124,0.306789638110284,"3569/8900/10000/6776/843/7098/7048",7
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","6/214","133/8545",0.0451127819548872,1.8013491673108,1.4927494427968,0.116638863161073,0.365821889005185,0.30833957845212,"3569/1901/3575/10000/1956/7048",6
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","5/214","105/8545",0.0476190476190476,1.90142412105029,1.48950354306809,0.123042124294011,0.375342063362557,0.316363829149981,"5743/3569/3553/834/10000",5
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","5/214","105/8545",0.0476190476190476,1.90142412105029,1.48950354306809,0.123042124294011,0.375342063362557,0.316363829149981,"284217/70/3690/3908/3672",5
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","3/214","49/8545",0.0612244897959184,2.44468815563609,1.62537598834925,0.123754086108669,0.375342063362557,0.316363829149981,"2903/2906/2770",3
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","3/214","50/8545",0.06,2.39579439252336,1.58640364517268,0.129359676852908,0.383906137757017,0.32358221374638,"7368/151056/8540",3
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","3/214","50/8545",0.06,2.39579439252336,1.58640364517268,0.129359676852908,0.383906137757017,0.32358221374638,"3569/3112/3600",3
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","4/214","79/8545",0.0506329113924051,2.02176741985094,1.46222903561891,0.135806127655344,0.398749906732711,0.336093552204154,"5743/3553/3112/718",4
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","2/214","26/8545",0.0769230769230769,3.07153127246585,1.69540241742832,0.137277487658099,0.398827227301424,0.33615872324033,"151056/6948",2
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","6/214","140/8545",0.0428571428571429,1.71128170894526,1.35995876028488,0.139003091586642,0.398863414681809,0.336189224426697,"6696/4208/10000/5054/5327/2770",6
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","3/214","52/8545",0.0576923076923077,2.30364845434939,1.51119512223907,0.140833115023834,0.398863414681809,0.336189224426697,"5743/1583/8644",3
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","9/214","238/8545",0.0378151260504202,1.50995444906935,1.27875309451868,0.143070572657606,0.398863414681809,0.336189224426697,"4803/5156/7010/2903/2113/2247/5159/10000/1956",9
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","9/214","238/8545",0.0378151260504202,1.50995444906935,1.27875309451868,0.143070572657606,0.398863414681809,0.336189224426697,"3569/1437/4312/3553/834/716/7098/718/1956",9
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","4/214","83/8545",0.0481927710843374,1.92433284540029,1.35618788539605,0.154256387586325,0.422725141121835,0.356301511014209,"3569/3428/3553/834",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","2/214","28/8545",0.0714285714285714,2.85213618157543,1.57324929975351,0.154692895845309,0.422725141121835,0.356301511014209,"10402/84002",2
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","4/214","85/8545",0.0470588235294118,1.87905442550852,1.3053560468324,0.163818804002786,0.435077017958356,0.366712513229583,"978/26289/9615/4907",4
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","3/214","56/8545",0.0535714285714286,2.13910213618158,1.37062090756385,0.164735480105582,0.435077017958356,0.366712513229583,"132884/2736/2619",3
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","5/214","116/8545",0.0431034482758621,1.72111666129552,1.25324343120559,0.165518430745027,0.435077017958356,0.366712513229583,"2903/773/6507/2906/2770",5
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","5/214","116/8545",0.0431034482758621,1.72111666129552,1.25324343120559,0.165518430745027,0.435077017958356,0.366712513229583,"3759/773/815/10000/2770",5
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","4/214","86/8545",0.0465116279069767,1.85720495544447,1.28045206667019,0.168679058859802,0.435097385470143,0.366729680354316,"815/10000/6776/1956",4
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","4/214","86/8545",0.0465116279069767,1.85720495544447,1.28045206667019,0.168679058859802,0.435097385470143,0.366729680354316,"284217/3690/3908/3672",4
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","6/214","149/8545",0.0402684563758389,1.60791569968011,1.19974574377296,0.170441546456906,0.435572840945427,0.367130426578716,"5156/5737/5159/10000/56895/1956",6
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","3/214","58/8545",0.0517241379310345,2.06533999355462,1.30471022511855,0.177111194662152,0.448465043364714,0.377996851958817,"978/4907/1806",3
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","3/214","59/8545",0.0508474576271186,2.030334230952,1.27274547037846,0.183393663933126,0.454376535418663,0.38297945967782,"2882/290/2950",3
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","3/214","59/8545",0.0508474576271186,2.030334230952,1.27274547037846,0.183393663933126,0.454376535418663,0.38297945967782,"5743/10000/2770",3
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","4/214","90/8545",0.0444444444444444,1.77466251298027,1.18403878440945,0.188611077465018,0.454376535418663,0.38297945967782,"55509/10000/29126/1956",4
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","6/214","154/8545",0.038961038961039,1.55571064449569,1.11529859428689,0.189087372186007,0.454376535418663,0.38297945967782,"70/64208/146/815/10000/2770",6
"Organismal Systems","Nervous system","hsa04730","Long-term depression","3/214","60/8545",0.05,1.9964953271028,1.24140619305326,0.189734879309167,0.454376535418663,0.38297945967782,"773/4067/2770",3
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","5/214","122/8545",0.040983606557377,1.63647157959246,1.13478730883766,0.190845133308564,0.454376535418663,0.38297945967782,"112609/10000/6776/2770/3486",5
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","6/214","155/8545",0.0387096774193548,1.54567380162798,1.09877029865764,0.192909194433369,0.454376535418663,0.38297945967782,"5743/3759/815/4208/2770/1956",6
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","4/214","92/8545",0.0434782608695652,1.73608289313287,1.13763813874841,0.19884983533611,0.454376535418663,0.38297945967782,"5156/5159/2770/1956",4
