"ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","gene_biotype","chromosome_name","external_gene_id"
"ENSG00000134874",-2.59371392768175,5.97692353046889,40.132734327992,2.37279400592644e-10,3.01661211286781e-07,"protein_coding","13","DZIP1"
"ENSG00000173068",-4.29897344154806,5.62202683335857,39.9013286552171,2.67121435426515e-10,3.24164003773504e-07,"protein_coding","9","BNC2"
"ENSG00000168685",-2.88654313063592,5.75236622845944,39.3506493948613,3.54135071059388e-10,4.04580604087751e-07,"protein_coding","5","IL7R"
"ENSG00000170893",3.35072131070105,4.74366689549265,39.2986365038554,3.63695201816841e-10,4.04580604087751e-07,"protein_coding","3","TRH"
"ENSG00000144642",-5.27709490127534,5.46912679497498,37.0034691025774,1.17919259830628e-09,1.25928335958325e-06,"protein_coding","3","RBMS3"
"ENSG00000185483",-2.01424136802359,6.05875967443452,36.772318728037,1.32761985877691e-09,1.36326134575485e-06,"protein_coding","1","ROR1"
"ENSG00000147065",-1.52664893045876,6.53089417524834,36.4735650304563,1.54750840205485e-09,1.50600555155429e-06,"protein_coding","X","MSN"
"ENSG00000255504",4.11933254615702,4.40779954098098,36.4337433466689,1.57944997541089e-09,1.50600555155429e-06,"pseudogene","11",""
"ENSG00000091831",1.41883827251352,6.03319165436031,36.3170258338422,1.67692493108659e-09,1.54381178655689e-06,"protein_coding","6","ESR1"
"ENSG00000171759",3.22059957958961,4.64319829843177,35.7253104872474,2.27193044380834e-09,2.02186663295984e-06,"protein_coding","12","PAH"
"ENSG00000197888",3.77154567673945,4.65734165553731,35.6338557180564,2.38113067463947e-09,2.05069118553305e-06,"protein_coding","4","UGT2B17"
"ENSG00000134198",-3.05528446559841,5.56352634488639,35.4107856355254,2.67004235183506e-09,2.22764970966538e-06,"protein_coding","1","TSPAN2"
"ENSG00000254615",-2.58348008277834,5.65734310354756,35.1720245340086,3.01828424653717e-09,2.44188341860756e-06,"processed_transcript","8",""
"ENSG00000134762",-2.24573847393954,5.84041770393167,35.0011683036223,3.29507562612213e-09,2.5874096784179e-06,"protein_coding","18","DSC3"
"ENSG00000137273",-5.23472943416046,5.44246522142996,34.9151810256684,3.44385206519138e-09,2.62697035532798e-06,"protein_coding","6","FOXF2"
"ENSG00000207422",4.60117318681487,4.53967491728139,34.4179922825059,4.44594298922929e-09,3.22011736838895e-06,"snRNA","6",""
"ENSG00000212719",-2.22702371021177,5.90336791951333,34.3587794688419,4.58328189372912e-09,3.22011736838895e-06,"protein_coding","17","C17orf51"
"ENSG00000249346",2.17399905702817,5.13303755703515,34.3795265598375,4.53468391827053e-09,3.22011736838895e-06,"lincRNA","6",""
"ENSG00000168350",1.45902072002328,5.88821475351358,33.5656515269949,6.88987254187486e-09,4.71655941340962e-06,"protein_coding","14","DEGS2"
"ENSG00000129993",1.9527158512425,5.60862415408701,33.4037322495043,7.48801277167284e-09,4.99787412445304e-06,"protein_coding","16","CBFA2T3"
"ENSG00000105974",-1.5626600454042,6.40987548494736,33.0347908285561,9.05244171293389e-09,5.894685093949e-06,"protein_coding","7","CAV1"
"ENSG00000064787",1.45849627896838,5.85178421104136,32.576421651637,1.14596583034263e-08,7.28452279487801e-06,"protein_coding","20","BCAS1"
"ENSG00000089327",-1.48280834055562,6.4140073098008,31.654127052242,1.84222683627239e-08,1.12174385227811e-05,"protein_coding","19","FXYD5"
"ENSG00000154027",-2.46561269581106,5.65004374745313,31.6473098188608,1.8487051277338e-08,1.12174385227811e-05,"protein_coding","1","AK5"
"ENSG00000079215",-1.96779645204249,5.96914586062396,31.5762147855566,1.91764054195852e-08,1.12726185046888e-05,"protein_coding","5","SLC1A3"
"ENSG00000259881",2.49447673806803,4.85970796111444,31.5514583656589,1.94224455470703e-08,1.12726185046888e-05,"antisense","16",""
"ENSG00000261226",2.55952641630104,4.81569299755441,30.8822332395813,2.74170294609872e-08,1.55740394159455e-05,"sense_intronic","16",""
"ENSG00000109101",2.77557836586461,4.70611871128129,30.6653708666259,3.0658818260787e-08,1.6642242248806e-05,"protein_coding","17","FOXN1"
"ENSG00000137868",-2.05040064498602,5.82875770874407,30.6621013129284,3.07105241925237e-08,1.6642242248806e-05,"protein_coding","15","STRA6"
"ENSG00000198542",-4.24790589766082,5.4876361709749,30.6334374063361,3.11675823073002e-08,1.6642242248806e-05,"protein_coding","13","ITGBL1"
"ENSG00000225362",1.83183267839874,5.32472528873403,30.5503828717538,3.25307666239952e-08,1.70295373985769e-05,"protein_coding","15","CT62"
"ENSG00000196557",1.41928484495634,5.83038094970136,30.2262713104834,3.8446624602159e-08,1.97393843005469e-05,"protein_coding","16","CACNA1H"
"ENSG00000149948",-2.01664893682425,5.83255685335822,30.0716974547232,4.16363742452627e-08,2.09737343320759e-05,"protein_coding","12","HMGA2"
"ENSG00000110427",-2.51265347555363,5.68400363113726,29.8844620514817,4.58573077972685e-08,2.2479446527762e-05,"protein_coding","11","C11orf41"
"ENSG00000223808",3.50675531159383,4.95626689439983,29.8654392270661,4.63094448657917e-08,2.2479446527762e-05,"lincRNA","10",""
"ENSG00000167912",-4.85530070080859,5.21251009980988,29.6653454426466,5.13445544764526e-08,2.44785163466488e-05,"processed_transcript","8",""
"ENSG00000166825",-1.97336461069871,6.06832687884681,29.4973672599076,5.59927104889892e-08,2.62261997304392e-05,"protein_coding","15","ANPEP"
"ENSG00000134013",-1.46436509059157,6.3445777672124,29.291262837954,6.22758569733484e-08,2.86662211978354e-05,"protein_coding","8","LOXL2"
"ENSG00000125879",3.07812654692685,4.81459319059894,29.092636329238,6.89987427638682e-08,3.095805662395e-05,"protein_coding","20","OTOR"
"ENSG00000162738",-1.97519991949768,5.82730363614291,29.076554704871,6.95738780971233e-08,3.095805662395e-05,"protein_coding","1","VANGL2"
"ENSG00000115363",-1.79462686791259,5.9714700953048,28.8881919252928,7.66789410178561e-08,3.35602355294217e-05,"protein_coding","2","FAM176A"
"ENSG00000175592",-1.633250007256,6.13120708799013,28.3960612228182,9.88662523671125e-08,4.25730839628576e-05,"protein_coding","11","FOSL1"
"ENSG00000134259",-5.03564168328734,5.3157394830764,28.3364610008475,1.01957393405214e-07,4.32072776052763e-05,"protein_coding","1","NGF"
"ENSG00000115295",-1.57385928123998,6.17194229303397,28.291302721548,1.04363840554645e-07,4.35360283613736e-05,"protein_coding","2","CLIP4"
"ENSG00000104332",-1.84418446808276,6.09808257115963,28.1813456798739,1.10464094478787e-07,4.53718522214563e-05,"protein_coding","8","SFRP1"
"ENSG00000117983",1.37246524100926,5.82531789704202,28.072559922991,1.1685096496931e-07,4.7267985799252e-05,"protein_coding","11","MUC5B"
"ENSG00000020633",-1.94214162830671,5.81290506407119,28.0236896714051,1.19839383546493e-07,4.77533113720041e-05,"protein_coding","1","RUNX3"
"ENSG00000255248",-5.24511874687198,5.44508970985071,27.5477172451326,1.53266153294954e-07,6.01749964804216e-05,"processed_transcript","11",""
"ENSG00000253304",-2.3883779890926,5.63728059418804,27.4372185485474,1.62277844040352e-07,6.27897663795554e-05,"protein_coding","1","TMEM200B"
"ENSG00000108878",2.54880982132276,4.72500923414755,27.1063768013929,1.92561703280488e-07,7.27764249848556e-05,"protein_coding","17","CACNG1"
"ENSG00000225206",-4.90441054864465,5.23853614106847,27.0965821466266,1.93539822231057e-07,7.27764249848556e-05,"pseudogene","1","MIR2682"
"ENSG00000235123",2.36619274124804,5.39682958180997,26.9954556369495,2.0393435333246e-07,7.5619991184306e-05,"antisense","21","DSCAM-AS1"
"ENSG00000116157",-4.97526144679689,5.28089565516459,26.920240869569,2.12026724556385e-07,7.75436916740599e-05,"protein_coding","1","GPX7"
"ENSG00000234261",2.19797329752732,4.9868558253431,26.6593695357809,2.42671147745803e-07,8.75518148988843e-05,"lincRNA","6",""
"ENSG00000167769",3.12074675542021,4.57877548870939,26.5480024303177,2.57070390172217e-07,9.15102036909046e-05,"protein_coding","19","ACER1"
"ENSG00000166396",-5.03803460166237,5.31980786882026,26.4725609221628,2.67308187625323e-07,9.29611147827467e-05,"protein_coding","18","SERPINB7"
"ENSG00000233823",3.68889100830288,4.31638687248673,26.4667739069505,2.68110189462562e-07,9.29611147827467e-05,"antisense","6",""
"ENSG00000124664",1.13725432857292,6.22970521254692,26.4202660710312,2.74643747079195e-07,9.40056251220557e-05,"protein_coding","6","SPDEF"
"ENSG00000156564",2.55831502199267,4.89873112026507,26.3457052751277,2.85452939490421e-07,9.51708507831148e-05,"protein_coding","6","LRFN2"
"ENSG00000205018",3.14136367018324,4.48987206363347,26.3700539593658,2.81876981655269e-07,9.51708507831148e-05,"protein_coding","16",""
"ENSG00000261786",-5.21286255705413,5.42699212089902,26.3235772571399,2.8874218718377e-07,9.51708507831148e-05,"lincRNA","3",""
"ENSG00000105971",-1.42159972847845,6.26371412389713,26.1078091045378,3.22875533755982e-07,0.000105123548783137,"protein_coding","7","CAV2"
"ENSG00000116299",1.081038539168,6.30115710028273,26.0361993918949,3.35075428369328e-07,0.000106498140316718,"protein_coding","1","KIAA1324"
"ENSG00000198846",-4.02510795197062,5.44323158219869,26.0471772661801,3.33175603495076e-07,0.000106498140316718,"protein_coding","8","TOX"
"ENSG00000022267",-1.84430079450946,5.81195236450578,26.0081250637324,3.3998349976914e-07,0.000106786817374547,"protein_coding","X","FHL1"
"ENSG00000255735",2.03174611862915,5.13663526171198,25.9606068437143,3.484556147177e-07,0.000108175209322478,"pseudogene","2",""
"ENSG00000175040",-2.75104216882154,5.67456587762114,25.9355759232454,3.53003199352379e-07,0.000108327349612757,"protein_coding","3","CHST2"
"ENSG00000121270",1.29365757172082,5.88010608525164,25.8581528085054,3.67449405249501e-07,0.000111479138878991,"protein_coding","16","ABCC11"
"ENSG00000108231",3.44860063403294,4.54984254653379,25.7592125713396,3.86776375162333e-07,0.000116024220944764,"protein_coding","10","LGI1"
"ENSG00000072858",1.27423664740663,5.90676611686774,25.605729211625,4.18794110753298e-07,0.000124232946321017,"protein_coding","3","SIDT1"
"ENSG00000132357",-2.07119365262403,5.70765667832206,25.4014362248128,4.65571369903296e-07,0.000136591477293167,"protein_coding","5","CARD6"
"ENSG00000251196",-3.02341260570898,5.4490599359466,25.2748003547406,4.97161815950334e-07,0.000144274197415674,"pseudogene","5",""
"ENSG00000218416",1.56186776350476,5.43746803646314,24.9824804967761,5.78536262471499e-07,0.000166083453069506,"protein_coding","2",""
"ENSG00000123685",-3.06793367139625,5.19062163782484,24.9313752865131,5.94076743869311e-07,0.000168730435189605,"protein_coding","1","BATF3"
"ENSG00000125845",-3.47607617546248,5.39145987425946,24.6799164944851,6.7685847872249e-07,0.000188237163176386,"protein_coding","20","BMP2"
"ENSG00000182752",-1.85925136293539,5.74811910711035,24.692599132526,6.72418917491175e-07,0.000188237163176386,"protein_coding","9","PAPPA"
"ENSG00000253125",1.61805683534311,5.35475257609603,24.5824519070929,7.1197142344776e-07,0.000195960959414518,"processed_transcript","8",""
"ENSG00000073792",-1.58771374248034,6.13438466875915,24.2180974768401,8.60201748810235e-07,0.000234343533568731,"protein_coding","3","IGF2BP2"
"ENSG00000113492",3.25688926605592,4.40960253994981,24.0375360240296,9.44758389399748e-07,0.000254779388688833,"protein_coding","5","AGXT2"
"ENSG00000072163",-2.9184836796779,5.43240128707338,23.9362126928754,9.95808850233383e-07,0.000265861046835309,"protein_coding","2","LIMS2"
"ENSG00000236886",3.38157626712185,4.40556132835465,23.7694481612588,1.08592538692215e-06,0.000287049861188591,"processed_transcript","2",""
"ENSG00000060982",-1.79733761323368,5.95205778066025,23.4072611827853,1.3108281072986e-06,0.00032404156304313,"protein_coding","12","BCAT1"
"ENSG00000073756",-5.13454043810651,5.37476175528908,23.4452175386712,1.28521825026077e-06,0.00032404156304313,"protein_coding","1","PTGS2"
"ENSG00000087245",-1.69359495561949,5.83397628987592,23.4110903595311,1.30822144627565e-06,0.00032404156304313,"protein_coding","16","MMP2"
"ENSG00000107249",-1.83380385898892,5.73351141858664,23.4487967073937,1.28282936281797e-06,0.00032404156304313,"protein_coding","9","GLIS3"
"ENSG00000168490",-4.40375772081433,4.96924070103606,23.4785460193505,1.26314497668301e-06,0.00032404156304313,"protein_coding","8","PHYHIP"
"ENSG00000198774",-4.68700777866391,5.11709213721106,23.408551382588,1.30994923961725e-06,0.00032404156304313,"protein_coding","12","RASSF9"
"ENSG00000260328",-4.56172358640615,5.05118869774779,23.5169348549451,1.2381910025763e-06,0.00032404156304313,"lincRNA","17",""
"ENSG00000186910",3.02633747917723,4.45322989819709,23.3677834317603,1.33800764794103e-06,0.000327725946648895,"protein_coding","14","SERPINA11"
"ENSG00000187987",-4.63726568335221,5.09079169032388,23.2793405627707,1.40096796814357e-06,0.000340027661940883,"protein_coding","6","ZSCAN23"
"ENSG00000187498",-1.6728911644279,6.07290033454395,23.2378292546114,1.43153517874683e-06,0.000344316452271917,"protein_coding","13","COL4A1"
"ENSG00000196569",-2.43853582229531,5.57458216321949,23.1783096127107,1.4765338944732e-06,0.00035196876709505,"protein_coding","6","LAMA2"
"ENSG00000169994",-2.97491883497962,5.17517110092322,23.0611480984132,1.56929932371577e-06,0.000367518888987399,"protein_coding","2","MYO7B"
"ENSG00000249267",1.87276789551346,5.04290465613156,23.0725174950785,1.56004691007345e-06,0.000367518888987399,"lincRNA","12",""
"ENSG00000154822",-2.35623387281356,5.60910198116563,23.0126988250539,1.60934838354552e-06,0.000370399854688778,"protein_coding","3","PLCL2"
"ENSG00000197467",-1.81772583443815,5.72227163836204,23.0147405610005,1.60764013713632e-06,0.000370399854688778,"protein_coding","10","COL13A1"
"ENSG00000164746",-4.04197140865582,4.80163083080042,22.9130050223433,1.69501162597292e-06,0.000383624494963398,"protein_coding","7","C7orf57"
"ENSG00000204175",-1.70744185523337,5.7973750596163,22.9123989788084,1.6955461235179e-06,0.000383624494963398,"protein_coding","10","GPRIN2"
"ENSG00000146966",-1.90646747749691,5.68184121675507,22.863040221743,1.73965031890014e-06,0.000390295665663831,"protein_coding","7","DENND2A"
"ENSG00000257989",2.68498647293395,4.62329260865627,22.808400746452,1.78981641374457e-06,0.000398204321784605,"processed_transcript","12",""
"ENSG00000166741",-2.96133900439425,5.66474397028106,22.7212510633868,1.87285159756581e-06,0.000408031990143122,"protein_coding","11","NNMT"
"ENSG00000196542",1.30858581834964,6.02768415382479,22.7140953734988,1.87983874401094e-06,0.000408031990143122,"protein_coding","3","SPTSSB"
"ENSG00000197635",-2.911552409711,5.60277263446055,22.7249601347728,1.86924014599147e-06,0.000408031990143122,"protein_coding","2","DPP4"
"ENSG00000132429",-3.31826357098745,5.51424510173693,22.6809808295149,1.91251536338564e-06,0.000411776896545725,"protein_coding","6","POPDC3"
"ENSG00000249993",3.2989131167584,4.51602552868489,22.6354512609897,1.95837513682686e-06,0.000418277595224027,"antisense","3",""
"ENSG00000148468",-1.75798330104581,5.9628771014499,22.6192138559096,1.97499580508406e-06,0.000418479666699478,"protein_coding","10","FAM171A1"
"ENSG00000236008",1.73576580111764,5.15103937119306,22.5487332276588,2.0487958633279e-06,0.000430698834323844,"lincRNA","2",""
"ENSG00000196549",-1.59395861511544,6.05096765194073,22.4425156995452,2.1652755843971e-06,0.000451629121501826,"protein_coding","3","MME"
"ENSG00000139117",-2.1037300173912,5.72425686629818,22.4104273543386,2.20175396894761e-06,0.000452172518945871,"protein_coding","12","CPNE8"
"ENSG00000155970",-4.87274566824211,5.22037644952601,22.4171430909065,2.19406877701824e-06,0.000452172518945871,"protein_coding","8","EFHA2"
"ENSG00000091986",-1.70179675357776,6.02219499390119,22.233841955256,2.4138153505736e-06,0.00048817084279259,"protein_coding","3","CCDC80"
"ENSG00000173335",3.81267874082584,4.34201224652665,22.2195145183962,2.43189460227038e-06,0.00048817084279259,"protein_coding","20","CST9"
"ENSG00000230978",2.79358763157667,4.50259392291602,22.2309626774906,2.41743774428569e-06,0.00048817084279259,"lincRNA","21","LINC00160"
"ENSG00000163710",-2.57831037796775,5.50656780032233,22.2040646197145,2.45154250902962e-06,0.000488442402284126,"protein_coding","3","PCOLCE2"
"ENSG00000068366",-1.21821434197269,6.35884684309813,22.0208885483848,2.69699264263792e-06,0.000529443452743728,"protein_coding","X","ACSL4"
"ENSG00000134240",2.94263376785652,5.08908811755228,22.0225924107089,2.69459955516216e-06,0.000529443452743728,"protein_coding","1","HMGCS2"
"ENSG00000124191",-1.58342815385291,5.87557310313738,21.9643455921328,2.77762880875192e-06,0.000541292948438386,"protein_coding","20","TOX2"
"ENSG00000026025",-1.14761451475988,6.47079879565895,21.8785631272409,2.90460640677274e-06,0.00056193610034796,"protein_coding","10","VIM"
"ENSG00000019549",-1.62195453994831,5.82694001546821,21.7944583910323,3.03475394731475e-06,0.000574286891497385,"protein_coding","8","SNAI2"
"ENSG00000106829",-1.34762801778877,6.1524905947436,21.7883408106006,3.04444576146683e-06,0.000574286891497385,"protein_coding","9","TLE4"
"ENSG00000135318",-1.41097077927407,6.17224576317282,21.8193497282173,2.99563786830174e-06,0.000574286891497385,"protein_coding","6","NT5E"
"ENSG00000136883",1.24114711773098,5.77729373369734,21.768558463508,3.07599915664567e-06,0.000574286891497385,"protein_coding","9","KIF12"
"ENSG00000225485",-1.32798349715423,6.17901671837343,21.7685912426915,3.07594660246987e-06,0.000574286891497385,"protein_coding","17","ARHGAP23"
"ENSG00000136244",-4.24245978766658,5.35763280494153,21.6957317178973,3.19501387644155e-06,0.000592364447730809,"protein_coding","7","IL6"
"ENSG00000148848",-1.6719047128561,5.77084277575827,21.5980762799606,3.36188858779459e-06,0.000614966953784923,"protein_coding","10","ADAM12"
"ENSG00000241978",-3.95769559409913,4.76545850739082,21.5974465634782,3.36299255571948e-06,0.000614966953784923,"protein_coding","9","AKAP2"
"ENSG00000128510",-1.28849536553507,6.2219503256378,21.5062193573314,3.52682980791169e-06,0.00064053947082739,"protein_coding","7","CPA4"
"ENSG00000111863",-2.98565921832107,5.28900681686728,21.4766921884015,3.58155571503598e-06,0.000641747479731749,"protein_coding","6","C6orf105"
"ENSG00000232073",3.23544132814542,4.34585481554686,21.4800458058424,3.57529744319285e-06,0.000641747479731749,"antisense","22",""
"ENSG00000241749",-4.4017295723639,4.96684805197261,21.3566998099354,3.81285947234201e-06,0.00067863814795058,"pseudogene","12","RPSAP52"
"ENSG00000260009",3.34042497331723,4.35142827103392,21.2697010865874,3.9898840702215e-06,0.000705443211303136,"lincRNA","16",""
"ENSG00000119917",-1.49239374852427,6.02803739653239,21.2011199377825,4.13522807107038e-06,0.000726331046325243,"protein_coding","10","IFIT3"
"ENSG00000050628",1.62716448249911,5.57059398586132,21.1634806221868,4.21724324644161e-06,0.000735895164663387,"protein_coding","1","PTGER3"
"ENSG00000244405",-1.28996907274447,6.1991900862194,21.1299820451897,4.29160780893743e-06,0.00074400873560397,"protein_coding","3","ETV5"
"ENSG00000244509",-1.63897385416323,5.77527293612021,21.0847564811435,4.39409750296377e-06,0.000756862033123399,"protein_coding","22","APOBEC3C"
"ENSG00000169067",-3.38499483018546,5.07526468950919,21.0297609991657,4.52204317469394e-06,0.00077390710691012,"protein_coding","5","ACTBL2"
"ENSG00000115616",1.10887696824635,5.99270892438829,20.9857332121571,4.62716249001038e-06,0.000781873317457576,"protein_coding","2","SLC9A2"
"ENSG00000250886",2.1510151023637,4.76722835490218,20.9926214614929,4.61055593668442e-06,0.000781873317457576,"pseudogene","5",""
"ENSG00000134363",-1.63970390690194,5.76949665227237,20.972937705196,4.65817005795705e-06,0.000782162416398347,"protein_coding","5","FST"
"ENSG00000005471",2.07049865877001,4.81651607872744,20.9169413402538,4.79633891117169e-06,0.000795358113356905,"protein_coding","7","ABCB4"
"ENSG00000075461",1.09482182538676,6.15407034639155,20.9230384513075,4.78109713657357e-06,0.000795358113356905,"protein_coding","17","CACNG4"
"ENSG00000173918",-2.07003107322904,5.68074477908171,20.8683982784974,4.91944127979617e-06,0.000810736069679,"protein_coding","17","C1QTNF1"
"ENSG00000106541",0.969049142455941,6.30745257760076,20.8208938442559,5.04297935527176e-06,0.000815984623194215,"protein_coding","7","AGR2"
"ENSG00000107738",-1.43892955194607,5.98189575805376,20.8272621446989,5.02623918620694e-06,0.000815984623194215,"protein_coding","10","C10orf54"
"ENSG00000163661",-2.67729588981842,5.65190083200915,20.8227233423016,5.03816448578129e-06,0.000815984623194215,"protein_coding","3","PTX3"
"ENSG00000112299",-4.54556340649952,5.04136408877506,20.7789626525771,5.15460862803074e-06,0.000829022537055209,"protein_coding","6","VNN1"
"ENSG00000183888",2.09552491730376,5.29886022599073,20.7606678015161,5.20408709401489e-06,0.000831968366682692,"protein_coding","1","C1orf64"
"ENSG00000258616",2.53928381606831,4.98512366667246,20.7125204598232,5.33659171844909e-06,0.000848073367256868,"lincRNA","14",""
"ENSG00000009765",1.68512391035213,5.16434613822303,20.5914636203011,5.68490377868496e-06,0.000898080243096633,"protein_coding","6","IYD"
"ENSG00000136231",-1.54366144371998,5.95912046568894,20.5529844734074,5.80032896464694e-06,0.00091092460410673,"protein_coding","7","IGF2BP3"
"ENSG00000124126",0.936260218795014,6.37542040165893,20.5152328182911,5.91585775291721e-06,0.000923634913961308,"protein_coding","20","PREX1"
"ENSG00000161031",2.65618173048426,4.86821785673968,20.4987206409272,5.96711219811519e-06,0.000926220706193485,"protein_coding","19","PGLYRP2"
"ENSG00000101670",-1.6222306584794,5.95476012251902,20.4638194038868,6.07691849763797e-06,0.000937812543641264,"protein_coding","18","LIPG"
"ENSG00000169083",1.07975270962944,6.16595488794694,20.4355938340248,6.16720355029959e-06,0.000946275864286773,"protein_coding","X","AR"
"ENSG00000154127",-1.46852300627019,6.11159619352578,20.4031674923086,6.27258879835167e-06,0.000956946147076531,"protein_coding","11","UBASH3B"
"ENSG00000135074",-1.55706824229545,5.82229574233966,20.386152026577,6.32861007802953e-06,0.000960006999222911,"protein_coding","5","ADAM19"
"ENSG00000173530",-3.40094962069646,5.51491653303589,20.3622425185633,6.40817883736968e-06,0.000966585076836699,"protein_coding","8","TNFRSF10D"
"ENSG00000177932",-1.37047061998743,6.04007292219896,20.2912179658421,6.65051412211711e-06,0.000997502393439789,"protein_coding","5","ZNF354C"
"ENSG00000122707",-1.61900181823846,5.75132652292499,20.1817840261213,7.04203412764386e-06,0.00104667137872478,"protein_coding","9","RECK"
"ENSG00000224321",-3.92397670833776,4.7513321263325,20.1777935157206,7.0567401367316e-06,0.00104667137872478,"pseudogene","1",""
"ENSG00000113140",-1.25756037566113,6.2270065282725,20.1509460437177,7.15648429793727e-06,0.00105560120323939,"protein_coding","5","SPARC"
"ENSG00000167601",-1.43445877023871,6.12318622319845,20.1369361032057,7.20909497519955e-06,0.00105751877828504,"protein_coding","19","AXL"
"ENSG00000259459",1.93078106249087,4.91341137337883,20.124986678978,7.25427461651507e-06,0.00105833127711322,"lincRNA","15",""
"ENSG00000205403",-2.41752459640385,5.56140331914423,20.0891249463362,7.39157818957754e-06,0.00107250192665946,"protein_coding","4","CFI"
"ENSG00000142552",-1.60627993627498,5.7567636421004,20.0551902740527,7.52390529675895e-06,0.00108580120871822,"protein_coding","19","RCN3"
"ENSG00000122641",-1.61895750887343,5.98628559500962,20.0410830232787,7.57961346555323e-06,0.0010879597865771,"protein_coding","7","INHBA"
"ENSG00000112769",-1.61044769924496,5.92185306634237,20.0267735302308,7.63654331450059e-06,0.00109026969738255,"protein_coding","6","LAMA4"
"ENSG00000169862",1.1837036907606,5.79129829217503,19.994586176106,7.76617336576511e-06,0.00110287923680424,"protein_coding","5","CTNND2"
"ENSG00000100979",-1.54745410403199,5.80997028471819,19.9643534150909,7.88994289398443e-06,0.00110866155465051,"protein_coding","20","PLTP"
"ENSG00000197646",-3.17258860845576,5.26522982491186,19.9646143424263,7.8888662601835e-06,0.00110866155465051,"protein_coding","9","PDCD1LG2"
"ENSG00000134871",-1.19252553655915,6.28295027330146,19.9387057064397,7.99649308659609e-06,0.0011143287735662,"protein_coding","13","COL4A2"
"ENSG00000154678",-2.98440779074937,5.63196103212102,19.9345838592563,8.01375101223729e-06,0.0011143287735662,"protein_coding","7","PDE1C"
"ENSG00000100599",-1.57472914222463,6.03106626317635,19.8863146937219,8.21865569284057e-06,0.00113214423179799,"protein_coding","14","RIN3"
"ENSG00000197249",1.13936373941694,5.87340822475581,19.8844484046039,8.22668293388308e-06,0.00113214423179799,"protein_coding","14","SERPINA1"
"ENSG00000227051",0.98961935289937,6.20125262949134,19.8669291217773,8.302421287055e-06,0.00113670791549638,"protein_coding","14","C14orf132"
"ENSG00000111186",-1.57287780114102,5.77184271488248,19.7345389627934,8.89786163732769e-06,0.00121201586731314,"protein_coding","12","WNT5B"
"ENSG00000196620",2.8377004178933,4.99041116682953,19.6681072556693,9.21261615419655e-06,0.00124221427315525,"protein_coding","4","UGT2B15"
